Action,Descritpion,URL/URI,Droits,Qui est notifié
Créer exercice,Permet de créer un exercice sans préciser les paramètres de notification,/discipline/{idcours}/createexercice,Etre créateur,Le responsible de formation
Créer exercice avec notifications ,Créer des exercices en paramétrant les notifactions afin d'ajouter des utilisateurs qui doivent être prévenus grâce à des boutons on/off et un boîte de saisie selectionnant spécifiquement un utilisateur,/discipline/createexercice?not1=0&user=quentin,Etre créateur,Responsible de formation et les utilisateurs selectionnés
Editer exercice,Editer l'exercice via l'editeur en ligne et voir la preview,filebrowser/apply_option/?option_h=0&name_h=toto.pl&relative_h=./plbank/python/0PLG/TPE&type_h=entry,Etre créateur,Responsable de formation et le créateur
Supprimer exercice,Supprimer un exercice de la base de donnée NON REVERSIBLE,/discipline/deleteexercice?idex=92412,Responsible de formation,Créateur
Supprimer exercice avec notification,Supprimer l'exercice en précisant les groupes de personne à notifier,/discipline/deleteexercice?id=92412&enseignant,,
Rechercher un exercice,,,,
Demande d'exercice,,,,
Soumettre un exercice,,,,
Valider un exercice,,,,
Ajouter un tag à un exercice,,,,
Supprimer un tag d'un exercice,,,,
Editer un graph,,,,
Editer un graphe savant,,,,
Créer un graphe,,,,
Créer un graphe savant,,,,
Créer noeud,,,,
Editer noeud,,,,
Supprimer noeud,,,,
Créer grain,,,,
Editer grain,,,,
Supprimet grain,,,,
Ajouter noeud dans un graph,,,,
Ajouter grain dans un noeud,,,,
Ajouter,,,,
